date,value
2020-01-01,117826.023393531
2020-02-01,117384.220984502
2020-03-01,116868.993438146
2020-04-01,117760.50017
2020-05-01,121197.56266089
2020-06-01,122848.971376964
2020-07-01,128930.385113282
2020-08-01,129346.597406637
2020-09-01,127920.288921717
2020-10-01,128436.769347265
2020-11-01,130150.355453254
2020-12-01,133849.095923967
2021-01-01,132967.973841613
2021-02-01,132366.103955633
2021-03-01,128007.032040253
2021-04-01,130079.302681715
2021-05-01,130769.007800704
2021-06-01,129143.844098008
2021-07-01,129513.902616191
2021-08-01,242176.260513541
2021-09-01,239483.923943952
2021-10-01,241388.718004096
2021-11-01,239184.77895245
2021-12-01,240197.337193282
2022-01-01,239330.787754897
2022-02-01,239754.72685066896
2022-03-01,237182.459292871
2022-04-01,229916.629436113
2022-05-01,231270.10470447296
2022-06-01,227534.17706142296
2022-07-01,226993.140641825
2022-08-01,223071.020668691
2022-09-01,219111.688617456
2022-10-01,221754.526688245
2022-11-01,228625.630790953
2022-12-01,232716.637027829
2023-01-01,236062.81196846496
2023-02-01,232435.280009137
2023-03-01,235948.842458469
2023-04-01,235645.289630708
2023-05-01,231972.659209953
2023-06-01,232967.286807664
2023-07-01,233966.834670548
2023-08-01,232761.56607149
2023-09-01,229949.20561611
2023-10-01,229672.544553801
2023-11-01,232346.958218549
2023-12-01,234110.801811752
2024-01-01,232964.719172791
2024-02-01,232645.50193284
2024-03-01,232761.248705209
2024-04-01,230561.250351376
2024-05-01,232014.55290855496
2024-06-01,231079.098432319
2024-07-01,234180.41913774
2024-08-01,238053.088816305
2024-09-01,239578.42654470896
2024-10-01,232884.026201733
2024-11-01,230423.175701495
2024-12-01,227759.698198716
